n,m,s,r,w,z,independent_groups,dependent_failures,C_t1,C_t4,effective_t4,bytes_equal,syndrome,status
4,1,1,4,8,1,3,2,29,29,3,PASS,PASS,PASS
4,1,1,5,8,1,4,2,36,36,4,PASS,PASS,PASS
4,1,1,6,8,1,5,2,43,43,4,PASS,PASS,PASS
4,1,1,7,8,1,6,2,50,50,4,PASS,PASS,PASS
4,1,1,8,8,1,7,2,57,57,4,PASS,PASS,PASS
4,1,1,9,8,1,8,2,64,64,4,PASS,PASS,PASS
4,1,1,10,8,1,9,2,71,71,4,PASS,PASS,PASS
4,1,1,11,8,1,10,2,78,78,4,PASS,PASS,PASS
4,1,1,12,8,1,11,2,85,85,4,PASS,PASS,PASS
4,1,1,13,8,1,12,2,92,92,4,PASS,PASS,PASS
4,1,1,14,8,1,13,2,99,99,4,PASS,PASS,PASS
4,1,1,15,8,1,14,2,106,106,4,PASS,PASS,PASS
4,1,1,16,8,1,15,2,113,113,4,PASS,PASS,PASS
4,1,1,17,8,1,16,2,120,120,4,PASS,PASS,PASS
4,1,1,18,8,1,17,2,127,127,4,PASS,PASS,PASS
4,1,1,19,8,1,18,2,134,134,4,PASS,PASS,PASS
4,1,1,20,8,1,19,2,141,141,4,PASS,PASS,PASS
4,1,1,21,8,1,20,2,148,148,4,PASS,PASS,PASS
4,1,1,22,8,1,21,2,155,155,4,PASS,PASS,PASS
4,1,1,23,8,1,22,2,162,162,4,PASS,PASS,PASS
4,1,1,24,8,1,23,2,169,169,4,PASS,PASS,PASS
4,1,2,4,8,1,3,3,45,45,3,PASS,PASS,PASS
4,1,2,4,8,2,2,4,50,50,2,PASS,PASS,PASS
4,1,2,5,8,1,4,3,56,56,4,PASS,PASS,PASS
4,1,2,5,8,2,3,4,61,61,3,PASS,PASS,PASS
4,1,2,6,8,1,5,3,67,67,4,PASS,PASS,PASS
4,1,2,6,8,2,4,4,72,72,4,PASS,PASS,PASS
4,1,2,7,8,1,6,3,78,78,4,PASS,PASS,PASS
4,1,2,7,8,2,5,4,83,83,4,PASS,PASS,PASS
4,1,2,8,8,1,7,3,89,89,4,PASS,PASS,PASS
4,1,2,8,8,2,6,4,94,94,4,PASS,PASS,PASS
4,1,2,9,8,1,8,3,100,100,4,PASS,PASS,PASS
4,1,2,9,8,2,7,4,105,105,4,PASS,PASS,PASS
4,1,2,10,8,1,9,3,111,111,4,PASS,PASS,PASS
4,1,2,10,8,2,8,4,116,116,4,PASS,PASS,PASS
4,1,2,11,8,1,10,3,122,122,4,PASS,PASS,PASS
4,1,2,11,8,2,9,4,127,127,4,PASS,PASS,PASS
4,1,2,12,8,1,11,3,133,133,4,PASS,PASS,PASS
4,1,2,12,8,2,10,4,138,138,4,PASS,PASS,PASS
4,1,2,13,8,1,12,3,144,144,4,PASS,PASS,PASS
4,1,2,13,8,2,11,4,149,149,4,PASS,PASS,PASS
4,1,2,14,8,1,13,3,155,155,4,PASS,PASS,PASS
4,1,2,14,8,2,12,4,160,160,4,PASS,PASS,PASS
